:0 황 | :8 배남 | :0 태 | :0 황 |  | :0 태 니레 |  | :0 황 니나 | :0 태 |  
 :0 중 | :8 태 | :0 황 | :0 황 |  | :0 황 니나 |  | :0 황 니나 | :0 태 | :8 황 
 :0 황 |  | :0 태 루러표 | :10 황 :11 배남 |  | :0 배임 |  | :0 배임 | :0 배남 | :0 배남 
 :0 배임 | :8 배남 니레 | :0 황 | :0 배남 | :9 니 | :0 배남 |  | :0 배임 | :0 황 |  
 :0 태 | :2 황 :9 니 | :0 배남 | :0 배임 |  | :0 배임 |  | :0 배중 미는표 | :0 배남 |  
 :0 배태 |  | :0 배황 | :0 황 |  | :0 황 니나 |  | :0 배황 니나 | :0 태 | :2 황 :6 태 :8 태 
 :10 황 :11 배남 |  | :0 배임 | :0 황 |  | :0 황 니나 |  | :0 황 니나 | :0 태 |  
 :0 황 |  | :0 배중 | :0 황 |  | :0 황 |  | :0 황 니나 | :0 태 |  
 :0 임 |  | :0 남 | :0 임 |  | :0 임 |  | :0 임 | :0 남 서침표 |  
 :0 임 |  | :0 임 | :0 임 |  | :0 임 |  | :0 임 | :0 남 서침표 |  
 :0 남 |  | :0 청황 | :0 임 |  | :0 임 |  | :0 남 | :0 임 |  
 :0 임 |  | :0 중 | :0 중 |  | :0 중 | :0 남 | :0 임 | :0 남 서침표 | :0 청황 
 :0 남 | :2 임 :8 임 | :2 중 :8 태 | :0 태 |  | :0 태 니레 | :8 중 | :0 황 | :0 황 니나 | :0 태 
 :0 황 | :8 태 | :0 황 | :0 태 | :8 황 | :0 중 |  | :0 태 | :0 황 | :8 태 
 :0 임 |  | :0 남 | :0 임 |  | :0 임 니레 |  | :0 남 | :0 임 | :0 청황 
 :0 남 | :2 임 :8 임 | :0 중 | :0 태 |  | :0 태 |  | :0 황 | :0 태 |  
 :0 임 |  | :0 중 | :10 태 :11 황 | :8 황 | :0 중 |  | :0 태 | :0 중 니나 | :8 태 
 :0 임 |  | :0 남 | :0 임 |  | :0 임 |  | :0 임 | :0 청황 서침표 |  
 :0 임 |  | :0 남 | :0 임 |  | :0 임 |  | :0 중 | :0 남 서침표 |  
 :0 태 |  | :0 황 | :0 태 |  | :0 태 니레 |  | :0 황 니나 | :0 태 | :0 태 
 :10 황 :11 배남 |  | :0 배임 | :0 황 |  | :0 황 니나 |  | :0 황 니나 | :0 태 |  
 :0 황 |  | :0 배중 | :0 황 |  | :0 황 |  | :0 황 니나 | :0 태 |  
 :0 중 |  | :0 임 | :0 남 |  | :0 임 |  | :0 임 | :0 남 서침표 |  
